19171,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.29444444444444445,ay:-0.5033333333333333,az:0.6077777777777778,q:37.8125,rV:    55,lV:    85,Camera:0
19205,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.005555555555555556,ay:-0.5422222222222223,az:0.4411111111111111,q: 38.25,rV:    55,lV:    85,Camera:0
19243,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.04666666666666667,ay:-0.6977777777777778,az:0.1711111111111111,q: 39.75,rV:    55,lV:    85,Camera:0
19278,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.16555555555555557,ay: -0.75,az:-0.13555555555555557,q: 42.25,rV:    55,lV:    85,Camera:0
19313,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:  0.46,ay:-0.7433333333333333,az:-0.02666666666666667,q: 44.25,rV:    55,lV:    85,Camera:0
19347,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:  0.09,ay:-0.7055555555555556,az:-0.05333333333333334,q:46.5625,rV:    55,lV:    85,Camera:0
19384,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:0.6622222222222223,ay:-0.6444444444444445,az:0.09777777777777778,q:48.1875,rV:    55,lV:    85,Camera:0
19421,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:0.6355555555555555,ay:-0.4533333333333333,az:0.3277777777777778,q:49.4375,rV:    55,lV:    85,Camera:0
19456,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:0.45111111111111113,ay:-0.38555555555555554,az:0.3811111111111111,q:50.375,rV:    55,lV:    85,Camera:0
19495,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:0.10666666666666667,ay:-0.2577777777777778,az:0.43222222222222223,q:50.4375,rV:    55,lV:    85,Camera:0
19533,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:0.30333333333333334,ay:-0.2777777777777778,az:0.14444444444444443,q:50.875,rV:    55,lV:    85,Camera:0
19569,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.5066666666666667,ay:-0.24666666666666667,az:0.1322222222222222,q:  51.5,rV:    55,lV:    85,Camera:0
19605,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.17666666666666667,ay:-0.17333333333333334,az:  0.04,q:51.8125,rV:    55,lV:    85,Camera:0
19642,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.7055555555555556,ay:-0.17222222222222222,az:0.21333333333333335,q:  52.0,rV:    55,lV:    85,Camera:0
19676,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.3411111111111111,ay:-0.13666666666666666,az:0.3411111111111111,q:51.625,rV:    55,lV:    85,Camera:0
19711,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.7033333333333334,ay:-0.12222222222222222,az:0.5677777777777778,q:50.9375,rV:    55,lV:    85,Camera:0
19746,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.03222222222222222,ay:-0.16333333333333333,az:0.6255555555555555,q: 50.25,rV:    55,lV:    85,Camera:0
19783,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:  0.04,ay:-0.20333333333333334,az:0.5211111111111111,q:49.875,rV:    55,lV:    85,Camera:0
19818,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.10111111111111111,ay:-0.21222222222222223,az:0.41555555555555557,q:49.625,rV:    55,lV:    85,Camera:0
19852,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:0.12666666666666668,ay:-0.2811111111111111,az:0.25333333333333335,q:49.875,rV:    55,lV:    85,Camera:0
19887,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.09666666666666666,ay:-0.30444444444444446,az:0.08444444444444445,q:50.625,rV:    55,lV:    85,Camera:0
19924,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:0.1688888888888889,ay:-0.4388888888888889,az: -0.13,q: 51.75,rV:    55,lV:    85,Camera:0
19958,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.27666666666666667,ay:-0.3988888888888889,az:-0.19111111111111112,q:53.375,rV:    55,lV:    85,Camera:0
19994,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:  0.24,ay:-0.5177777777777778,az:-0.08333333333333333,q: 54.75,rV:    55,lV:    85,Camera:0
20031,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.3933333333333333,ay:-0.5166666666666667,az: -0.11,q:56.375,rV:    55,lV:    85,Camera:0
20066,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.17444444444444446,ay: -0.53,az:0.14666666666666667,q:  57.5,rV:    55,lV:    85,Camera:0
20100,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.36333333333333334,ay:-0.5811111111111111,az:0.4166666666666667,q:58.1875,rV:    55,lV:    85,Camera:0
20135,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:0.057777777777777775,ay:-0.5566666666666666,az:0.7822222222222223,q:58.4375,rV:    55,lV:    85,Camera:0
20172,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:0.4444444444444444,ay:-0.6411111111111111,az:0.8733333333333333,q:  58.5,rV:    55,lV:    85,Camera:0
20206,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:0.6188888888888889,ay:-0.6966666666666667,az:0.8277777777777777,q:58.6875,rV:    55,lV:    85,Camera:0
20244,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:0.39111111111111113,ay: -1.01,az:0.027777777777777776,q:60.625,rV:    55,lV:    85,Camera:0
20282,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:0.31555555555555553,ay:-1.0044444444444445,az:0.058888888888888886,q:63.875,rV:    55,lV:    85,Camera:0
20317,state:7,Time:19:52:48,Lat:35.55469000,Lng:139.65623167,ax:-0.06222222222222222,ay:-1.1777777777777778,az:-0.3211111111111111,q:66.8125,rV:    55,lV:    85,Camera:0
20355,state:7,Time:19:52:49,Lat:35.55470500,Lng:139.65623667,ax:-0.13333333333333333,ay:-1.1577777777777778,az:-0.21666666666666667,q:71.4375,rV:    55,lV:    85,Camera:0
20393,state:7,Time:19:52:49,Lat:35.55470500,Lng:139.65623667,ax:-0.45555555555555555,ay:-1.1233333333333333,az:0.08666666666666667,q:75.1875,rV:    55,lV:    85,Camera:0
