10090,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
10124,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:   0.0,ay:-0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
10162,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:0.0033333333333333335,ay:-0.0033333333333333335,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
10198,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
10234,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:   0.0,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
10273,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
10311,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:0.0011111111111111111,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
10347,state:0,Time:16:43:58,Lat:35.55523000,Lng:139.65507833,ax:   0.0,ay:-0.005555555555555556,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
10382,state:0,Time:16:43:58,Lat:35.55523000,Lng:139.65507833,ax:-0.0022222222222222222,ay:-0.0033333333333333335,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
10416,state:0,Time:16:43:58,Lat:35.55523000,Lng:139.65507833,ax:0.0011111111111111111,ay:0.0022222222222222222,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
10452,state:0,Time:16:43:58,Lat:35.55523000,Lng:139.65507833,ax:0.0011111111111111111,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
10490,state:0,Time:16:43:58,Lat:35.55523000,Lng:139.65507833,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
10526,state:0,Time:16:43:58,Lat:35.55523000,Lng:139.65507833,ax:0.0011111111111111111,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
10562,state:0,Time:16:43:58,Lat:35.55523000,Lng:139.65507833,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
10601,state:0,Time:16:43:58,Lat:35.55523000,Lng:139.65507833,ax:0.0022222222222222222,ay:0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
10637,state:0,Time:16:43:58,Lat:35.55523000,Lng:139.65507833,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
10672,state:0,Time:16:43:58,Lat:35.55523000,Lng:139.65507833,ax:0.0011111111111111111,ay:-0.0033333333333333335,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
10711,state:0,Time:16:43:58,Lat:35.55523000,Lng:139.65507833,ax:-0.0033333333333333335,ay:0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
10747,state:0,Time:16:43:58,Lat:35.55523000,Lng:139.65507833,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
