8078,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:   0.0,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:359.9375,Camera:0
8114,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:-0.0022222222222222222,ay:   0.0,az:0.0022222222222222222,q:359.9375,Camera:0
8149,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:0.0033333333333333335,ay:   0.0,az:-0.0011111111111111111,q:359.9375,Camera:0
8185,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0022222222222222222,q:359.9375,Camera:0
8221,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:0.0044444444444444444,ay:0.0011111111111111111,az:-0.0022222222222222222,q:359.9375,Camera:0
8255,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:0.0011111111111111111,q:359.9375,Camera:0
8289,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.9375,Camera:0
8325,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:0.0022222222222222222,ay:-0.0022222222222222222,az:   0.0,q:359.9375,Camera:0
8359,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0022222222222222222,q:359.9375,Camera:0
8394,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:-0.0044444444444444444,ay:   0.0,az:0.0022222222222222222,q:359.9375,Camera:0
8428,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:   0.0,ay:-0.0033333333333333335,az:0.0011111111111111111,q:359.9375,Camera:0
8465,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.005555555555555556,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:0
8502,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0022222222222222222,ay:-0.0033333333333333335,az:   0.0,q:359.9375,Camera:0
8536,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:0.0022222222222222222,q:359.9375,Camera:0
8574,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:   0.0,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:0
8608,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0022222222222222222,ay:   0.0,az:   0.0,q:359.9375,Camera:0
8644,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:   0.0,ay:-0.0011111111111111111,az:0.0022222222222222222,q:359.9375,Camera:0
8677,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0022222222222222222,ay:0.0033333333333333335,az:0.0022222222222222222,q:359.9375,Camera:0
8714,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:0.0022222222222222222,q:359.9375,Camera:0
8748,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0033333333333333335,ay:0.0011111111111111111,az:0.0022222222222222222,q:-1328.0625,Camera:0
8785,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.9375,Camera:0
8820,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0022222222222222222,ay:0.0044444444444444444,az:-0.0011111111111111111,q:359.9375,Camera:0
8856,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0033333333333333335,ay:-0.0033333333333333335,az:   0.0,q:359.9375,Camera:0
8891,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:   0.0,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.9375,Camera:0
8925,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:0
8961,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:   0.0,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:0
8996,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:   0.0,ay:0.0033333333333333335,az:   0.0,q:359.9375,Camera:0
9033,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:359.9375,Camera:0
9067,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.9375,Camera:0
9104,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:0.0044444444444444444,ay:   0.0,az:0.0033333333333333335,q:359.9375,Camera:0
9138,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:   0.0,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:359.9375,Camera:0
9174,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:359.9375,Camera:0
9208,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:   0.0,ay:0.0022222222222222222,az:-0.0022222222222222222,q:359.9375,Camera:0
9244,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:0
9278,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0022222222222222222,ay:-0.0022222222222222222,az:   0.0,q:359.9375,Camera:0
9314,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0033333333333333335,ay:0.0044444444444444444,az:0.0011111111111111111,q:359.9375,Camera:0
9348,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:359.9375,Camera:0
9385,state:0,Time:11:39:32,Lat:39.59425167,Lng:-119.20687833,ax:   0.0,ay:0.0033333333333333335,az:   0.0,q:359.9375,Camera:0
9420,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0033333333333333335,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:0
9455,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:0
9490,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0033333333333333335,ay:-0.0044444444444444444,az:0.0011111111111111111,q:359.9375,Camera:0
9525,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:0.0022222222222222222,q:359.9375,Camera:0
9561,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0011111111111111111,ay:-0.0044444444444444444,az:0.0011111111111111111,q:359.9375,Camera:0
9596,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:   0.0,ay:-0.0011111111111111111,az:0.0022222222222222222,q:359.9375,Camera:0
9631,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:359.9375,Camera:0
9666,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:   0.0,ay:-0.0033333333333333335,az:0.0011111111111111111,q:359.9375,Camera:0
9704,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:-0.0022222222222222222,ay:-0.005555555555555556,az:   0.0,q:359.9375,Camera:0
9738,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:   0.0,ay:-0.0033333333333333335,az:0.0011111111111111111,q:359.9375,Camera:0
9775,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:0.0011111111111111111,q:359.9375,Camera:0
9810,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:0
