29204,state:3,Time:09:28:42,Lat:0.00000000,Lng:0.00000000,ax:0.09888888888888889,ay:0.05333333333333334,az:0.006666666666666667,q:172.6875,Camera:61,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.58,gy: -1.98,gz: -9.58,mirrer-detection:True
29593,state:3,Time:09:28:43,Lat:0.00000000,Lng:0.00000000,ax:-0.017777777777777778,ay:-0.0011111111111111111,az:-0.012222222222222223,q:172.5625,Camera:62,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.53,gy: -1.98,gz: -9.58,mirrer-detection:True
29983,state:3,Time:09:28:43,Lat:0.00000000,Lng:0.00000000,ax:-0.051111111111111114,ay:-0.028888888888888888,az:-0.0077777777777777776,q:172.5625,Camera:63,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.47,gy: -1.95,gz: -9.59,mirrer-detection:True
30373,state:3,Time:09:28:44,Lat:0.00000000,Lng:0.00000000,ax:-0.034444444444444444,ay: -0.01,az:  0.01,q:172.4375,Camera:64,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.52,gy: -1.93,gz:  -9.6,mirrer-detection:True
30760,state:3,Time:09:28:44,Lat:0.00000000,Lng:0.00000000,ax:-0.028888888888888888,ay:-0.011111111111111112,az:0.014444444444444444,q:172.4375,Camera:65,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.55,gy: -1.86,gz: -9.61,mirrer-detection:True
31157,state:3,Time:09:28:44,Lat:0.00000000,Lng:0.00000000,ax:0.051111111111111114,ay:-0.016666666666666666,az:0.005555555555555556,q:172.4375,Camera:66,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.55,gy: -1.92,gz:  -9.6,mirrer-detection:True
31548,state:3,Time:09:28:45,Lat:0.00000000,Lng:0.00000000,ax:-0.04666666666666667,ay:-0.008888888888888889,az:-0.022222222222222223,q:172.375,Camera:67,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.53,gy: -1.94,gz: -9.59,mirrer-detection:True
31938,state:3,Time:09:28:45,Lat:0.00000000,Lng:0.00000000,ax:0.10777777777777778,ay:-0.0022222222222222222,az:0.0033333333333333335,q:172.1875,Camera:68,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.55,gy: -1.99,gz: -9.58,mirrer-detection:True
32328,state:3,Time:09:28:45,Lat:0.00000000,Lng:0.00000000,ax:-0.05333333333333334,ay:-0.02666666666666667,az:-0.012222222222222223,q:172.0625,Camera:69,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.57,gy: -1.95,gz: -9.59,mirrer-detection:True
32721,state:3,Time:09:28:46,Lat:0.00000000,Lng:0.00000000,ax:-0.052222222222222225,ay:-0.014444444444444444,az:0.0022222222222222222,q:172.125,Camera:70,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.61,gy: -1.95,gz: -9.59,mirrer-detection:True
33116,state:3,Time:09:28:46,Lat:0.00000000,Lng:0.00000000,ax:-0.03888888888888889,ay:0.024444444444444446,az:-0.006666666666666667,q:172.125,Camera:71,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.56,gy: -1.93,gz: -9.59,mirrer-detection:True
33507,state:3,Time:09:28:47,Lat:0.00000000,Lng:0.00000000,ax:0.025555555555555557,ay:-0.006666666666666667,az:0.01888888888888889,q:172.125,Camera:72,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.55,gy: -1.96,gz: -9.59,mirrer-detection:True
33900,state:3,Time:09:28:47,Lat:0.00000000,Lng:0.00000000,ax: -0.01,ay:-0.05555555555555555,az:0.008888888888888889,q: 172.0,Camera:73,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.59,gy: -1.95,gz: -9.59,mirrer-detection:True
34290,state:3,Time:09:28:47,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:0.0011111111111111111,az:-0.006666666666666667,q:172.0625,Camera:74,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.61,gy: -1.95,gz: -9.58,mirrer-detection:True
34683,state:3,Time:09:28:48,Lat:0.00000000,Lng:0.00000000,ax:0.16444444444444445,ay:0.011111111111111112,az:-0.0022222222222222222,q: 172.0,Camera:75,rV:     0,lV:     0,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.59,gy: -1.93,gz: -9.59,mirrer-detection:True
35078,state:3,Time:09:28:48,Lat:0.00000000,Lng:0.00000000,ax:0.08777777777777777,ay:0.011111111111111112,az:0.013333333333333334,q: 172.0,Camera:76,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.57,gy: -1.94,gz: -9.59,mirrer-detection:True
35468,state:3,Time:09:28:49,Lat:0.00000000,Lng:0.00000000,ax:-0.012222222222222223,ay:-0.027777777777777776,az:0.0044444444444444444,q:172.0625,Camera:77,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.58,gy: -1.94,gz: -9.59,mirrer-detection:True
35857,state:3,Time:09:28:49,Lat:0.00000000,Lng:0.00000000,ax:0.14333333333333334,ay:-0.0022222222222222222,az:0.0033333333333333335,q: 172.0,Camera:78,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.55,gy: -1.94,gz: -9.59,mirrer-detection:True
36248,state:3,Time:09:28:49,Lat:0.00000000,Lng:0.00000000,ax:0.06555555555555556,ay:-0.04555555555555556,az:0.0011111111111111111,q: 172.0,Camera:79,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.55,gy: -1.92,gz: -9.59,mirrer-detection:True
36650,state:3,Time:09:28:50,Lat:0.00000000,Lng:0.00000000,ax: -0.08,ay:-0.052222222222222225,az: -0.04,q:171.8125,Camera:80,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.64,gy: -1.89,gz:  -9.6,mirrer-detection:True
37037,state:3,Time:09:28:50,Lat:0.00000000,Lng:0.00000000,ax:-0.07222222222222222,ay:0.012222222222222223,az:-0.023333333333333334,q:171.875,Camera:81,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.62,gy: -1.89,gz:  -9.6,mirrer-detection:True
37431,state:3,Time:09:28:51,Lat:0.00000000,Lng:0.00000000,ax:-0.06555555555555556,ay:0.052222222222222225,az:-0.005555555555555556,q:171.875,Camera:82,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.52,gy: -1.87,gz: -9.61,mirrer-detection:True
37833,state:3,Time:09:28:51,Lat:0.00000000,Lng:0.00000000,ax:0.08555555555555555,ay: -0.03,az: -0.01,q:171.8125,Camera:83,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.57,gy: -1.85,gz: -9.61,mirrer-detection:True
38224,state:3,Time:09:28:51,Lat:0.00000000,Lng:0.00000000,ax:-0.024444444444444446,ay:  0.03,az:-0.008888888888888889,q:171.8125,Camera:84,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.58,gy: -1.83,gz: -9.61,mirrer-detection:True
