5182,state:6,Time:19:39:04,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:   0.0,az:-0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
39459,state:6,Time:19:39:39,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:33,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
40515,state:6,Time:19:39:40,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:34,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
41540,state:6,Time:19:39:41,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:35,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
42568,state:6,Time:19:39:42,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:36,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
43625,state:6,Time:19:39:43,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:37,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
44644,state:6,Time:19:39:44,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.005555555555555556,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:38,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
45654,state:6,Time:19:39:45,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:39,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
46717,state:6,Time:19:39:46,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:40,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009501099456892599, 'y': 0.03379046326301639, 'z': 0.1629177540231189, 'roll': -154.1964843066981, 'pitch': -1.5698036148450731, 'yaw': 1.1972044433943827, 'norm': 0.1666561156224292}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
47764,state:6,Time:19:39:47,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:41,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
48779,state:6,Time:19:39:48,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0044444444444444444,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:42,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
49823,state:6,Time:19:39:49,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:   0.0,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:43,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
50844,state:6,Time:19:39:50,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:44,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
51857,state:6,Time:19:39:51,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0044444444444444444,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:45,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
52916,state:6,Time:19:39:52,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:46,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
