5213,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0044444444444444444,ay:   0.0,az:0.005555555555555556,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
39021,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:359.375,Camera:33,rV:     0,lV:    80,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
40052,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:359.375,Camera:34,rV:     0,lV:    80,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
41044,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:   0.0,az:   0.0,q:359.375,Camera:35,rV:     0,lV:    80,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
42060,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.375,Camera:36,rV:     0,lV:    80,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
43071,state:6,Time:0,Lat:     0,Lng:     0,ax:0.015555555555555555,ay:-0.006666666666666667,az:0.0044444444444444444,q:359.375,Camera:37,rV:     0,lV:    80,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
44086,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0077777777777777776,ay:0.006666666666666667,az:-0.0022222222222222222,q:359.3125,Camera:38,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.0048382348747752655, 'y': 0.02528120016742683, 'z': 0.16427857918026192, 'roll': 113.24843931038502, 'pitch': 0.4392503400819745, 'yaw': -0.4567349288318937, 'norm': 0.16628288900573798, 'rvec': array([ 1.9765655 , -0.0028869 , -0.01276636])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
45121,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.375,Camera:39,rV:    80,lV:    85,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
46127,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.375,Camera:40,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.004840278857848065, 'y': 0.0240938252733332, 'z': 0.16507009291983926, 'roll': 113.95467937350567, 'pitch': 0.4812091753768796, 'yaw': 0.09949122332012851, 'norm': 0.16688941336192661, 'rvec': array([ 1.988863  ,  0.00715532, -0.00722963])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
47136,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:-0.0022222222222222222,q:359.375,Camera:41,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.004840278857848065, 'y': 0.0240938252733332, 'z': 0.16507009291983926, 'roll': 113.95467937350567, 'pitch': 0.4812091753768796, 'yaw': 0.09949122332012851, 'norm': 0.16688941336192661, 'rvec': array([ 1.988863  ,  0.00715532, -0.00722963])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
48161,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.375,Camera:42,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.004840278857848065, 'y': 0.0240938252733332, 'z': 0.16507009291983926, 'roll': 113.95467937350567, 'pitch': 0.4812091753768796, 'yaw': 0.09949122332012851, 'norm': 0.16688941336192661, 'rvec': array([ 1.988863  ,  0.00715532, -0.00722963])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
