5218,state:7,Time:15:18:59,Lat:0.00000000,Lng:0.00000000,ax:  0.01,ay:-0.0011111111111111111,az:-0.005555555555555556,q:   0.0,rV:     0,lV:     0,Camera:0
17612,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0033333333333333335,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
17647,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0044444444444444444,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
17685,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:-0.0033333333333333335,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
17725,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
17761,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
17796,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0044444444444444444,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
17836,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
17875,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:0.0022222222222222222,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
17910,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0022222222222222222,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
17945,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
17984,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18022,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0022222222222222222,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18057,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
18094,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18133,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18172,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0022222222222222222,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
18207,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0033333333333333335,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18244,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:0.0011111111111111111,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18282,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
18318,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:0.0011111111111111111,az:0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
18354,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
18391,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
18427,state:7,Time:15:19:12,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
18465,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18507,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0022222222222222222,az:0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
18544,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0044444444444444444,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18583,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18621,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0044444444444444444,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18657,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
18694,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:   0.0,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
